0.05,KNN,-0.02053999205713002
0.1,GNB,0
0.15000000000000002,KNN,0
0.2,KNN,0
0.25,KNN,0
0.3,KNN,0
0.35,KNN,-0.0003732550570158903
0.39999999999999997,KNN,-0.025793258527438474
0.44999999999999996,KNN,-0.011278088964639133
0.49999999999999994,KNN,-0.06313859099626797
0.5499999999999999,KNN,-0.031136620118490513
0.6,KNN,-0.08064323725957923
0.65,KNN,-0.10096818090186624
0.7000000000000001,KNN,-0.16895260984091848
0.7500000000000001,KNN,-0.15110923922777236
0.8000000000000002,KNN,-0.1393150108135948
0.8500000000000002,KNN,-0.11309151757135859
0.9000000000000002,KNN,-0.16377756062946863
0.9500000000000003,KNN,-0.14023962014139987
